day,co,so2,no,no2,pm10,pm25,o3,wspd,wdir,temperature,press,rh,uv
2017-01-01,0,18.5,8.5,6.73,0,0,4.87,1.38,174.44,23.72,907.56,68.18,225.5
2017-01-02,0,18.16,7.78,6.6,0,0,4.87,1.69,283.26,24.14,907.25,69.48,191.15
2017-01-03,0,17.25,7.36,6.75,0,0,5.24,1.75,265.04,24.35,906.8,70.41,217.13
2017-01-04,0,16.16,7.56,7.12,0,0,2.95,0.8,138.39,22.5,906.32,83.25,51.07
2017-01-05,0,14.22,6.94,7.26,0,0,6.59,1.51,176.43,22.96,906.44,77.08,153.84
2017-01-06,0,5.77,4.2,5.92,12.83,0,7.83,1.54,286.49,24.19,906.12,75.06,52.83
2017-01-07,5.14,10.74,6.2,6.43,12.67,0,6.41,1.51,214.25,24.14,905.78,71.28,197.28
2017-01-08,4.82,11.59,6.56,6.15,12.68,0,7.76,1.59,244.21,23.46,905.57,68.57,182.4
2017-01-09,4.78,11.4,6.67,6.98,24.22,0,6.56,1.37,164.17,23.06,905.91,75.36,203.61
2017-01-10,4.84,10.58,6.61,6.64,18.99,0,6.04,1.32,108.91,22.56,907.64,79.21,101.04
2017-01-11,4.86,10.87,7.1,6.45,18.23,0,6.69,1.44,198.37,23.9,907.25,73.62,207.98
2017-01-12,4.9,10.9,7.48,5.63,12.08,0,4.65,1.6,265.24,23.64,906.85,74.32,164.23
2017-01-13,4.97,10.28,7.71,4.96,9.32,0,3.52,1.44,267.43,22.88,907.04,76.66,90.66
2017-01-14,4.89,9.59,7.69,4.99,8.69,0,4.61,1.96,287.32,22.21,907.97,77.34,126.17
2017-01-15,4.84,9.59,7.62,5.2,11.44,0,7.46,1.86,287.99,23.52,907.61,71.12,164.09
2017-01-16,4.8,9.57,8.58,5.16,10.53,0,3.94,1.46,256.33,21.7,907.89,82.1,99.86
2017-01-17,4.9,9.09,9.12,5.16,8.02,0,3.75,1.52,243.36,21.64,908.29,83.18,155.51
2017-01-18,4.58,8.65,9.72,5.3,11.5,0,4.3,1.51,204.95,22.89,909.36,75.97,184.28
2017-01-19,4.86,9.09,9.64,4.82,9.55,0,4.39,1.79,263,23.34,909,73.79,161.26
2017-01-20,4.71,9.67,11.01,5.39,9.99,0,5.02,1.88,257.12,23.48,908.58,72.59,197.36
2017-01-21,4.95,10.23,12.03,6.44,16.7,0,4.55,1.36,225.56,23.68,909.4,73.2,172.48
2017-01-22,4.89,9.73,12.24,6.83,18.15,0,6.75,1.44,187.04,23.33,909.49,76.81,150.78
2017-01-23,4.76,7.25,12.38,5.61,0,0,2.99,1.5,230.18,23.14,909.31,74.39,213.13
2017-01-24,5.11,7.87,13.9,5.56,0,0,3.22,1.72,198.58,22.88,909.22,75.37,202.69
2017-01-25,4.89,10.66,17.68,5.77,0,0,2.91,1.26,226.06,22.64,909.64,77.4,172.98
2017-01-26,4.69,10.57,18.14,6.05,0,0,4.82,1.73,230.91,22.16,909.49,71.31,148.65
2017-01-27,4.88,10.52,19.33,6.52,0,0,4.08,1.6,255.2,22.65,908.35,73.06,129.37
2017-01-28,5.01,10.53,20.92,5.64,0,0,1.89,1.54,271.86,21.99,908.06,81.58,146.53
2017-01-29,5.11,10.06,21.91,5.32,0,0,1.38,1.62,264.34,20.97,908.61,85.59,108.96
2017-01-30,5.21,8.91,21.29,5.08,0,0,1.58,1.61,256.71,22.26,908.1,77.05,181.52
2017-01-31,4.87,7.83,19.57,5.79,0,0,2.73,1.65,242.67,22.56,908.02,75.87,156.3
2017-02-01,4.92,7.45,19.44,5.71,0,0,3.13,1.57,263.27,21.77,908.87,80.03,140.73
2017-02-02,4.89,6.88,19.99,6.11,0,0,3.35,1.52,247.72,21.65,909.42,77.32,148.47
2017-02-03,4.83,4,15.21,5.13,0,0,3.09,1.88,264.77,21.74,908.28,76.51,164.31
