day,co,so2,no,no2,pm10,pm25,o3,wspd,wdir,temperature,press,rh,uv
2017-01-01,0,12.88,7.35,29.21,19.17,0,-3.66,2.34,78.26,25.6,926.71,64.22,283.36
2017-01-02,0,12.66,8.56,29.16,24.39,0,-3.64,2.42,81.4,25.53,926.88,66.73,231.96
2017-01-03,0,13.11,11.21,30.34,28.84,0,-3.6,2.38,76.66,25.22,926.62,70.34,277.16
2017-01-04,0,13.29,12.31,30.21,43.41,0,-3.64,2.26,125.97,24.51,926.25,75.83,239.57
2017-01-05,0,12.96,10.4,30.85,54.11,0,-3.43,2.31,83.88,24,926.57,79.51,218.8
2017-01-06,0,13.87,20.99,29.46,49.56,0,-3.63,1.4,172.03,22.94,926.45,83.34,256.71
2017-01-09,0,4.22,30.22,28.25,172.26,0,-4.73,1.48,83.73,23.15,926.88,82.06,30.779999999999998
2017-01-10,0,9.7,22.83,26.91,45.36,0,-3.48,2.27,78.32,24.03,927.31,78.84,203.52
2017-01-11,0,10.32,18.98,28.94,44.98,0,-2.82,2.17,88.22,25,927.44,75.28,300.85
2017-01-12,0,9.97,25.4,26.28,22.39,0,-3.07,2.66,71.31,24.93,926.87,72.74,278.03
2017-01-13,0,10.15,31.12,24.25,18.71,0,-3.21,2.21,77.99,24.27,927.05,74.74,171.55
2017-01-14,0,9.42,29.37,23.06,12.55,0,-2.47,2.81,72.31,23.5,928.31,74.65,183.63
2017-01-15,0,8.4,21.37,24.7,14.16,0,-2.85,2.63,72.94,24.38,927.97,71.42,228.37
2017-01-16,0,9.13,32.24,23.61,16.38,0,-2.97,2.65,70.05,23.33,928.01,76.81,224.83
2017-01-17,0,9.48,41.27,22.27,17.01,0,-3.16,2.1,67.93,22.46,928.83,84.01,198.9
2017-01-18,0,8.58,37.65,22.97,23.11,0,-2.7,2.11,83.9,23.86,929.91,74.74,265.39
2017-01-19,0,3.2,27.4,24.51,59.66,0,24.8,2.87,76.82,24.66,929.52,70.76,311.95
2017-01-20,0,5.32,33.9,24.4,14.32,0,36.65,2.68,71.37,24.82,929,70.37,287.76
2017-01-21,0,6.77,35.1,24.36,22.76,0,16.71,2.4,75.6,24.87,929.95,71.69,288.65000000000003
2017-01-22,0,6.33,32.93,24.63,27.01,0,13.77,2.31,80.45,23.96,930.7,77.52,295.36
2017-01-23,0,6.34,44.56,22.13,22.51,0,8.73,2.24,95.16,24.23,929.93,72.2,250.06
2017-01-24,0,6.7,46.99,21.3,24.79,0,9.22,2.14,86.58,24.11,929.96,72.34,268.96999999999997
2017-01-25,0,7.8,53.28,21.54,26.41,0,8.9,1.82,77.27,23.62,930.38,76.37,226.14
2017-01-26,0,7.24,49.01,23.87,45.94,0,7.76,2.19,67.59,23.37,930.26,73.1,203.8
2017-01-27,0,7.42,49.46,23.78,36.41,0,10.59,2.26,81.69,23.64,929.11,71.86,227.73999999999998
2017-01-28,0,6.42,50.71,20.12,13.21,0,4.34,2.48,80.34,22.78,928.75,82.57,246.1
2017-01-29,0,7.46,61.47,18.61,985,0,4.21,2.46,74.8,21.98,929.39,84.35,182.54
2017-01-30,0,9.26,77.18,19.11,985,0,6.77,2.24,79.05,23.28,928.93,76.97,259.6
2017-01-31,0,9.3,69.55,20.97,985,0,6.14,2.55,71.96,23.48,928.83,76.61,266.24
2017-02-01,0,9.12,73.85,20.08,985,0,4.36,2.34,71.79,22.2,929.79,82.69,200.52
2017-02-02,0,9.79,86.43,19.43,985,0,5.34,2.23,68.28,22.48,930.32,77.7,207.68
2017-02-03,0,9.05,80.92,18.42,985,0,2.39,2.8,75.95,23.05,929.25,73.23,225.36
2017-02-04,0,8.58,75.01,18.04,985,0,0.19,2.9,64.97,22.87,928.04,80.08,215.49
2017-02-05,0,7.29,65.67,18.51,985,0,-0.66,3.25,64.1,24.13,927.51,70.24,267.87
2017-02-06,0,9.77,85.81,17.72,985,0,1.08,2.28,81.33,23.15,927.59,75.35,213.26999999999998
2017-02-07,0,8.81,80.02,18.34,985,0,-0.17,2.74,76.12,23.26,927.84,71.93,254.76
2017-02-08,0,10.36,93.25,16.65,985,0,-1.05,2.28,66.81,22.14,928.08,82.98,156.57
2017-02-09,0,10.85,108.87,15.08,985,0,-1.8,2.19,73.42,21.25,927.88,86.67,117.49000000000001
2017-02-10,0,6.53,83.2,16.37,985,0,4.98,2.42,77.79,22.41,928.21,83.69,184.68
2017-02-11,0,5.56,75.16,19.45,985,0,4.58,2.2,54.9,21.6,929.95,89.28,172.2
2017-02-12,0,5.81,69.98,20.33,985,0,-2.18,2.32,66.84,22.1,931.24,87.06,192.72
2017-02-13,0,4.6,62.11,22.53,676.31,0,-2.55,2.25,85.9,23.3,931.65,81.83,269.72999999999996
2017-02-14,0,4.68,66.29,20.22,51.09,0,-2.88,2.1,108.65,22.63,932.29,84.55,231.49
