day,co,so2,no,no2,pm10,pm25,o3,wspd,wdir,temperature,press,rh,uv
2017-01-01,6.119999999999999,2.47,13.07,9.8,1.41,0,5.31,1.96,183.49,24.8,1003.48,81.18,103.62
2017-01-02,6.03,2.33,13.29,9.3,1.51,0,4.97,1.87,179.49,24.26,1003.5,81.5,93.72
2017-01-03,5.99,2.52,12.57,9.28,1.56,0,5.29,2.03,183.15,24.71,1003.52,81.42,96.81
2017-01-06,0,-0.15,3.81,26.92,12.81,0,5.63,0.14,82.45,9.95,350.67,27.22,0
2017-01-07,0,5.19,9.16,24.88,37.61,0,6.6,0.86,234.8,26.45,923.3299999999999,64.63,90.05
2017-01-08,0,7.67,10.75,26.53,45.97,0,8.28,0.73,229.48,25.67,929.62,63.03,105.59
2017-01-09,0,8.92,14.36,30.28,54.17,0,7.44,0.75,224.59,25.55,929.8199999999999,68.92,81.04
2017-01-10,0,9.85,21.45,33.7,84.24,0,6.97,0.46,215.16,24.98,931.22,74.78,56.66
2017-01-11,0,8.35,13.83,23.89,46.36,0,6.89,0.99,235.87,26.38,931.38,67.68,118.25
2017-01-12,0,15.38,22.32,22.67,28.33,0,9.46,1.25,244.87,25.81,930.8399999999999,69.2,83.5
2017-01-13,0,16.02,29.54,21.02,31.09,0,5.83,1.15,251.4,25.16,930.93,71.34,67.59
2017-01-14,0,16.7,40.06,20.41,44.38,0,5.23,1.17,231.51,24.5,932.06,71.38,66.54
2017-01-15,0,15.65,31.51,21.89,0.35,0,5.67,1.06,224,25.6,931.72,65.47,87.44
2017-01-16,0,15.92,33.66,19.78,17.48,0,5.01,1.16,249.67,24.51,931.72,71.45,85.45
2017-01-17,0,16.5,43.48,20.46,36.6,0,4.16,0.82,217.16,23.75,932.53,79.2,90.46
2017-01-18,0,15.54,35.8,19.05,20.01,0,3.88,1.27,255.49,25.11,933.53,69.15,116.31
2017-01-19,0,15.25,38.11,19.37,28.66,0,3.71,1.23,243.97,25.67,933.14,66.73,124.75
2017-01-20,0,15.5,39.62,18.73,20.31,0,3.76,0.94,247.41,25.93,932.52,65.66,96.43
2017-01-21,0,15.21,42.46,18.46,24.53,0,3.9,1.23,238.39,25.76,933.47,67.64,123.98
2017-01-22,0,16.53,50.66,20.79,36.42,0,3.96,0.84,215.94,24.94,934.22,75.06,107.17
2017-01-23,0,11.33,40.77,17.39,23.49,0,3.31,1.2,254.89,25.4,933.38,68.57,119.74
2017-01-24,0,12.53,45.01,17.33,26.54,0,3.63,1.17,259.46,24.46,933.3499999999999,70.97,69.4
2017-01-25,0,13.86,51.15,17.1,24.36,0,3.61,0.87,252.15,24.41,933.8299999999999,73.56,81.53
2017-01-26,0,13.95,52.28,17.96,40.88,0,4.05,0.87,236.88,24.48,933.6800000000001,66.21,84.17
2017-01-27,0,14.09,54.96,19,55.43,0,4.42,1.04,237.8,24.52,932.47,69.1,62.15
2017-01-28,0,11.82,46.95,14.73,7.47,0,3.48,1.99,279.53,21.91,932.38,84.51,0
2017-01-29,0,11.58,48.2,14.3,12.5,0,3.65,1.95,284.5,21.9,932.4,87.35,2.3
2017-02-03,0,10.2,48.2,14.3,16,0,4.1,0.8,236,26.4,930.3,56.4,113.7
2017-02-05,0,10.52,51.5,12.95,12,0,3.9,2.05,284.5,23.2,931.9499999999999,67,0
2017-02-07,0,12.5,75.6,17.7,64,0,4.7,2,190,24,931.9,75.3,95.2
2017-02-09,0,7.85,46.9,13,13,0,3.4,0.8,225,22.9,930.1,76.2,68.2
2017-02-10,9999.9,10.4,58.7,15.4,48,0,27.2,0.5,258,21.9,932.5,88.4,0
2017-02-11,9999.9,16.8,80,16.45,12,0,15.95,0.75,223,25,933.9499999999999,74,72.7
2017-02-14,9999.9,17.52,94.67,14.53,8,0,7.3,0.43,301.67,22.5,935.4,84.7,0
2017-02-15,9999.9,14.05,73.6,15,0,0,5.5,0.9,239,24.8,932.7,75.3,63
2017-02-16,9999.9,8.42,51,15.98,47.82,0,4.14,0.7,213.76,24.87,934.06,73.09,85.57
2017-02-17,9999.9,15.17,88.13,16.94,68.69,0,5.29,0.51,214.84,25.33,934.12,71.77,87.19
2017-02-18,9999.9,16.63,91.14,19.19,76.27,0,6.08,0.55,225.91,25.48,934.08,71.55,78.69
2017-02-19,9999.9,16.4,92.39,18.4,84.83,0,5.83,0.48,203.54,24.72,933.12,75.78,51.3
2017-02-20,9999.9,17.8,109.02,17.04,86.12,0,5.41,0.32,207.75,24.23,932.39,80.75,27.57
2017-02-21,9999.9,16.95,103.47,19.02,67.61,0,5.43,0.29,191.47,24.18,933.87,79.36,40.29
2017-02-22,9999.9,16.52,103.99,18.76,75.29,0,5.95,0.27,179.29,23.76,934.26,79.96,61.09
2017-02-23,5989.79,12.14,84.9,16,56.55,0,4.76,0.43,201.47,24.82,933.39,76,54.36
2017-02-24,0,11.98,91.43,15.55,52.72,0,5.52,0.42,224.07,24.1,934.04,77.05,54.46
2017-02-25,0,10.74,82.11,19.31,54.59,0,4.98,0.39,168.7,23.59,933.38,83.94,49.68
2017-02-26,0,11.98,96.78,16.92,65.51,0,4.95,0.43,198.74,24.34,931.66,78.67,72.89
2017-02-27,0,12.47,95.05,19.44,64.39,0,5.18,0.45,193.09,24,932.03,80.55,56.64
2017-02-28,0,12.7,106.18,16.48,51.17,0,4.48,0.32,187.38,24,932.09,79.51,82.33
2017-03-01,0,12.84,107.59,16.8,60.44,0,4.02,0.37,201.61,23.4,932.22,82.82,34.62
2017-03-02,0,13.21,109.87,16.02,60.34,0,3.45,0.28,195.06,23.46,931.97,81.22,55.71
2017-03-03,8397.43,7.7,67.95,17.32,46.79,0,3.59,0.55,181.25,25.12,930.25,73.13,76.7
2017-03-04,9999.9,13.29,109.97,14.25,50.94,0,3.61,0.62,183.11,24.86,931.08,74.06,156.12
2017-03-05,9999.9,13.5,109.14,14.05,59.29,0,3.65,0.75,213.79,24.23,931.2,78.38,109.28
2017-03-06,9999.9,12.98,103.61,16.74,65.89,0,3.86,0.7,223.01,23.95,931.64,80.01,90.56
2017-03-07,9999.9,10.05,88.07,15.37,55.64,0,3.67,0.69,225.77,22.47,932.4,85.82,57.43
2017-03-08,9999.9,11.18,100.29,16.64,57.23,0,3.78,0.56,189.13,23.65,932.87,78.72,114.9
2017-03-09,9999.9,12.19,104.2,17.86,53.27,0,4.1,0.74,207.92,24.1,932.11,75.49,151.28
2017-03-10,9999.9,12.64,107.97,18.33,80.16,0,4.14,0.6,190.6,24.25,931.9,77.22,100.88
2017-03-11,9999.9,12.4,106.99,17.3,59.47,0,4.14,0.65,174.91,24.35,932.7900000000001,73.47,109.59
2017-03-12,9999.9,12.15,105.05,13.15,40.01,0,4.11,1.07,236.44,24.26,933.55,72.03,124.19
2017-03-13,9999.9,12.3,110.38,12.15,61.3,0,4.2,0.98,224.24,25.25,933.76,66.82,154.17
2017-03-14,9999.9,12.96,109.75,12.33,43.76,0,4.15,1.12,202.56,25.81,933.7800000000001,63.19,135.74
2017-03-15,9999.9,13.6,115.04,12.73,51.99,0,4.02,0.82,203.37,24.24,932.87,73.08,101.96
2017-03-16,9999.9,14.19,125.68,12.54,75.72,0,4.09,0.48,192.89,23.25,932.3599999999999,81.17,63.96
2017-03-17,9999.9,13.69,107.86,19.21,89.31,0,4.4,1.19,210.85,25.22,932.9,75.01,105.08
2017-03-18,9999.9,13.71,121.2,14.42,52.58,0,4.07,0.58,179.49,23.14,934.7900000000001,84.55,55.6
2017-03-19,9999.9,12.51,113.12,12.88,45.33,0,4.21,0.77,209.1,23.67,934.14,79.54,132.46
2017-03-20,9999.9,10.37,100.38,10.95,56.77,0,4.04,0.87,209.2,23.47,933.15,80.8,116.42
2017-03-21,9999.9,10.08,95.52,12.11,66.57,0,4.5,1.03,233.18,23.79,932.54,76.54,135.96
2017-03-22,9705.79,12.5,107.84,13.29,65.65,0,4.38,0.86,243.46,24.17,932.74,80.83,97.83
2017-03-23,9999.9,11.69,109.9,16.21,63.16,0,4.53,0.81,211.75,23.67,933.43,78.28,81.21
2017-03-24,9999.9,9.85,99.03,17.25,76.41,0,4.68,0.94,225.18,24.68,933.43,73.73,148.69
2017-03-25,9999.9,12.37,112.56,22.27,100.62,0,4.85,0.83,207.47,25.75,933.13,74.93,99.14
2017-03-26,9999.9,13.11,131.66,20.37,93.27,0,4.75,0.6,193.73,24.35,934.4599999999999,77.52,85.09
2017-03-27,9999.9,13.12,138.26,19.35,79.55,0,4.76,0.63,197.96,24,934.24,79.55,90.27
2017-03-28,9999.9,12.68,135.19,19.53,77.65,0,4.81,0.79,209.86,24.26,934.42,78.44,156.18
2017-03-29,9999.9,12.7,139.92,17.49,65.3,0,4.71,0.75,216.67,24.1,934.4499999999999,79.33,131.52
2017-03-30,9999.9,13.07,148.25,16.51,67.97,0,4.64,0.57,179.76,23.17,934.71,83.85,97.43
