tahun,program,kegiatan,anggaran,realisasi,serapan
2014,Kemitraan Peningkatan Pelayanan Kesehatan,Kemitraan Pengobatan Lanjutan Bagi Pasien Rujukan,517326000,499329550,0.9652125545594075
2014,Obat dan Perbekalan Kesehatan,Pengadaaan Obat Dan Perbekalan Kesehatan,12944023033,12711527886,0.9820384167729563
2014,Obat dan Perbekalan Kesehatan,Pengadaan Obat Pelayanan Kesehatan Dasar (PKD) (DAK),4460594520,4270666920,0.9574210121210479
2014,Obat dan Perbekalan Kesehatan,Pengadaan Obat Pelayanan Kesehatan Dasar (PKD) (Pendamping DAK),509654000,508060780,0.9968739183838448
2014,Pelayanan Kesehatan Dasar,Pelayanan Imunisasi Dasar,2172611000,1940877718,0.8933388066248399
2014,Pelayanan Kesehatan Dasar,Penemuan Dan Penanganan Pasien Baru TB BTA Positif,962134000,798231510,0.8296469202834532
2014,Pelayanan Kesehatan Dasar,Pelayanan Penderita Dbd Yang Ditangani,763515000,733899106,0.9612111170049049
2014,Pelayanan Kesehatan Dasar,Pelayanan Pertolongan Persalinan Oleh Tenaga Kesehatan Yang Memiliki Kompetensi Kebidanan,621200000,537049240,0.8645351577591758
2014,Pelayanan Kesehatan Dasar,Pemberian Makanan Pendamping ASI Pada Anak Usia 6-24 Bulan Keluarga Miskin,464000000,462447000,0.9966530172413793
2014,Pelayanan Kesehatan Dasar,Pelayanan Ibu Hamil K4,353737500,38340900,0.10838799957595675
2014,Pelayanan Kesehatan Dasar,Pelayanan Balita Gizi Buruk Mendapat Perawatan,352046000,348195200,0.9890616567153157
2014,Pelayanan Kesehatan Dasar,Pelayanan Penjaringan Kesehatan Siswa SD Dan Setingkat,320731875,247339690,0.7711727747670855
2014,Pelayanan Kesehatan Dasar,Pelayanan Kesehatan Anak Balita,269250000,213462200,0.7928029712163417
2014,Pelayanan Kesehatan Dasar,Pelayanan Komplikasi Kebidanan Yang Ditangani,263525000,136974400,0.5197776302058629
2014,Pelayanan Kesehatan Dasar,Pelayanan Kesehatan Dasar Masyarakat Miskin,217485000,216944000,0.9975124721245143
2014,Pelayanan Kesehatan Dasar,Penemuan Dan Penanganan Acute Flacid Paralysis (AFP) Rate Per 100.000 Penduduk  < 15 Tahun,138175000,131805750,0.9539044689705084
2014,Pelayanan Kesehatan Dasar,Pelayanan Neonatus Dengan Komplikasi Yang Ditangani,71325000,68754970,0.9639673326323168
2014,Pelayanan Kesehatan Dasar,Pelayanan Kunjungan Bayi (Umur 29 Hari-11 Bulan),62881875,55280800,0.8791213684388387
2014,Pelayanan Kesehatan Dasar,Penemuan Dan Penanganan Penderita Pneumonia Balita,39775000,36512400,0.9179736015084853
2014,Pelayanan Kesehatan Dasar,Pelayanan Nifas,33750000,32111150,0.9514414814814814
2014,Pelayanan Kesehatan Dasar,Pelayanan Peserta KB Aktif,15750000,14239200,0.9040761904761905
2014,Pelayanan Kesehatan Dasar,Penemuan Dan Penanganan Penderita Diare,13450000,10972800,0.81582156133829
2014,Pelayanan Kesehatan Rujukan,Pelayanan Kesehatan Rujukan Pasien Masyarakat Miskin,61142906763,38906095628,0.6363141317243298
2014,Pelayanan Kesehatan Rujukan,Jaminan Kesehatan Bagi Masyarakat Miskin Di Luar Quota Jamkesmas (Banprov),7500000000,154172234,0.020556297866666667
2014,Pencegahan dan Penanggulangan Penyakit Menular,Penyediaan Lemari Es Vaksin (Banprov),1500000000,0,0
2014,Pencegahan dan Penanggulangan Penyakit Menular,Pelayanan Pencegahan Dan Penanggulangan Penyakit Menular,1124816450,976682450,0.868303846374224
2014,Pencegahan dan Penanggulangan Penyakit Menular,Penyediaan Mesin Fogging (Banprov),1000000000,0,0
2014,Pencegahan dan Penanggulangan Penyakit Menular,Pengadaan Mobil Ulv (Banprov),1000000000,0,0
2014,Pencegahan dan Penanggulangan Penyakit Menular,Peningkatan Imunisasi,14450000,14450000,1
2014,"Pengadaan, Peningkatan dan Perbaikan Sarana dan Prasarana Puskesmas/Puskesmas Pembantu dan Jaringannya",Pembangunan Puskesmas,5516125195,4900949445,0.8884768332383725
2014,"Pengadaan, Peningkatan dan Perbaikan Sarana dan Prasarana Puskesmas/Puskesmas Pembantu dan Jaringannya",Pengadaan Sarana Dan Prasarana Puskesmas,5025475000,3447717250,0.6860480352603485
2014,"Pengadaan, Peningkatan dan Perbaikan Sarana dan Prasarana Puskesmas/Puskesmas Pembantu dan Jaringannya",Rehabilitasi Puskesmas,3422870700,3254473760,0.9508024244094292
2014,Pengawasan dan Pengendalian Kesehatan Makanan,Pengawasan Dan Pengendalian Keamanan Dan Kesehatan Makanan Restaurant,576200000,478822375,0.8310003037139883
2014,Pengawasan Obat dan Makanan,Peningkatan Pengawasan Keamanan Pangan Dan Bahan Berbahaya,115750000,101047500,0.8729805615550756
2014,Pengawasan Obat dan Makanan,Peningkatan Pengawasan Obat Dan Bahan Berbahaya,52361167,41511167,0.7927853670641068
2014,Pengembangan Lingkungan Sehat,Pengkajian Pengembangan Lingkungan Sehat,1450982500,1022875535,0.7049537365199098
2014,Pengembangan Lingkungan Sehat,Pembangunan Instalasi Pengolahan Limbah (Banprov),1250000000,4700000,0.00376
2014,Pengembangan Lingkungan Sehat,Kegiatan Sosialisasi Kawasan Tanpa Asap Rokok,409785000,404483500,0.9870627280159108
2014,Peningkatan Pelayanan Kesehatan Lansia,Pelayanan Kesehatan,265694150,231490670,0.8712674705107357
2014,Penyelidikan Epidemiologi dan Penanggulangan Kejadian Luar Biasa,Penyelidikan Epidemiologi Dan Penanggulangan KLB,508092500,484914980,0.9543832668264145
2014,"Perencanaan, Pengembangan dan Evaluasi Pembangunan Kesehatan","Pengembangan Data Dan
Informasi Pembangunan Kesehatan",1200000000,1094013160,0.9116776333333333
2014,"Perencanaan, Pengembangan dan Evaluasi Pembangunan Kesehatan",Perencanaan Pembangunan Kesehatan,492244500,423461410,0.8602664123215191
2014,"Perencanaan, Pengembangan dan Evaluasi Pembangunan Kesehatan",Evaluasi Dan Pelaporan Pembangunan Kesehatan,250108000,236968350,0.9474640955107394
2014,Promosi Kesehatan dan Pemberdayaan Masyarakat,"Promosi Kesehatan Dan Kelurahan
Siaga Aktif",1344981954,1122536264,0.8346106508429778
2014,Promosi Kesehatan dan Pemberdayaan Masyarakat,Peningkatan Pemanfaatan Sarana Kesehatan,16575000,16575000,1
2014,Standarisasi Pelayanan Kesehatan,Kegiatan Penyusunan Standar Pelayanan Kesehatan,359117300,207616700,0.5781305996675739
2014,Upaya Kesehatan Masyarakat,Penyediaan Biaya Operasional Dan Pemeliharaan,30526128000,17979313364,0.5889811300011584
2014,Upaya Kesehatan Masyarakat,Pembinaan Pelayanan Sarana Kesehatan Dasar Swasta,9234836600,8035352050,0.8701130727099167
2014,Upaya Kesehatan Masyarakat,Pembinaan Keluarga Rawan,760750000,609581180,0.801289753532698
2014,Upaya Kesehatan Masyarakat,Pengadaan Dental Unit (Banprov),700000000,0,0
2014,Upaya Kesehatan Masyarakat,Pelayanan Kesehatan Matra,323136450,197873500,0.6123527692403627
2014,Upaya Kesehatan Masyarakat,Pelayanan Pencegahan Dan Penanggulangan Penyakit Tidak Menular,251687500,229506000,0.911868885026074
2014,Upaya Kesehatan Masyarakat,Pelayanan Penjaringan Kesehatan Siswa SMP/SMA Dan Setingkat,140589000,127386150,0.9060890254571837
2014,Upaya Kesehatan Masyarakat,Pelayanan Kesehatan Kerja,76650000,71776640,0.9364206131767776
2014,Upaya Kesehatan Masyarakat,Pelayanan Kesehatan Tradisional,76019375,65521400,0.8619039554061053
2014,Upaya Kesehatan Masyarakat,Pelayanan Kesehatan Jiwa,56250000,52331900,0.9303448888888889
2014,Upaya Kesehatan Masyarakat,Pelayanan Kesehatan Gigi Dan Mulut,52500000,46560700,0.8868704761904762
2014,Upaya Kesehatan Masyarakat,Pelayanan Kesehatan Anak Berkebutuhan Khusus,47816250,44662250,0.9340391603272946
2014,Upaya Kesehatan Masyarakat,Peningkatan Pelayanan Dan Penanggulangan Masalah Kesehatan,20412500,20412500,1
2014,Upaya Kesehatan Masyarakat,Pelayanan Kesehatan Olah Raga,19875000,18455000,0.9285534591194968
2014,Upaya Kesehatan Masyarakat,Pelayanan Kesehatan Indera,19650000,18145000,0.9234096692111959
