tahun,status,nama_sekolah,jumlah_peserta,bahasa_indonesia,bahasa_inggris,matematika,ipa
2015,Negeri,SMP NEGERI 1 BANDUNG,441,86.52,82.32,76.55,76.85
2015,Negeri,SMP NEGERI 2 BANDUNG,284,86.35,88.7,76.64,80.3
2015,Negeri,SMP NEGERI 3 BANDUNG,291,86.15,81.45,75.71,74.76
2015,Negeri,SMP NEGERI 4 BANDUNG,385,84.51,77.83,67.01,70.64
2015,Negeri,SMP NEGERI 5 BANDUNG,333,89.24,91.29,83.17,84.02
2015,Negeri,SMP NEGERI 6 BANDUNG,341,77.16,64.26,48.53,57.63
2015,Negeri,SMP NEGERI 7 BANDUNG,352,86.38,86.28,75.88,79.03
2015,Negeri,SMP NEGERI 8 BANDUNG,317,84.27,80.35,72.97,74.77
2015,Negeri,SMP NEGERI 9 BANDUNG,450,83.44,78.18,67.56,71.58
2015,Negeri,SMP NEGERI 10 BANDUNG,353,78.45,70.27,62.49,64.79
2015,Negeri,SMP NEGERI 11 BANDUNG,448,81.31,74.67,59.14,66.04
2015,Negeri,SMP NEGERI 12 BANDUNG,443,84.87,79.91,69.84,71.68
2015,Negeri,SMP NEGERI 13 BANDUNG,257,86.49,87.4,76.78,80.62
2015,Negeri,SMP NEGERI 14 BANDUNG,346,86.67,84.43,76.16,78.01
2015,Negeri,SMP NEGERI 15 BANDUNG,282,77.69,63.39,50.55,59.87
2015,Negeri,SMP NEGERI 16 BANDUNG,392,80.8,75.14,60.96,64.95
2015,Negeri,SMP NEGERI 17 BANDUNG,420,81.47,75.49,60.86,69.21
2015,Negeri,SMP NEGERI 18 BANDUNG,399,81.42,74.34,64.2,67.22
2015,Negeri,SMP NEGERI 19 BANDUNG,319,74.8,65.56,48.58,56.15
2015,Negeri,SMP NEGERI 20 BANDUNG,353,77.67,70.66,54.31,64.54
2015,Negeri,SMP NEGERI 21 BANDUNG,277,74.09,55.51,43.1,49.65
2015,Negeri,SMP NEGERI 22 BANDUNG,285,81.26,75.27,56.99,61.45
2015,Negeri,SMP NEGERI 23 BANDUNG,278,74.79,59.58,46.1,57
2015,Negeri,SMP NEGERI 24 BANDUNG,461,78.35,61.63,47.35,54.53
2015,Negeri,SMP NEGERI 25 BANDUNG,285,81.21,72.24,62.56,65.5
2015,Negeri,SMP NEGERI 26 BANDUNG,308,79.55,61.69,49.94,56.56
2015,Negeri,SMP NEGERI 27 BANDUNG,362,79.35,73.96,60.48,65.01
2015,Negeri,SMP NEGERI 28 BANDUNG,290,84.82,84.18,69.79,74.66
